Architecture: alexnet
Load dataset: 13.17 s
Compute features
0 / 5005	Time: 921.638 (921.638)
4547 / 5005	Time: 2.471 (1.436)
4548 / 5005	Time: 0.039 (1.435)
4549 / 5005	Time: 2.621 (1.436)
4550 / 5005	Time: 0.038 (1.435)
4551 / 5005	Time: 2.320 (1.435)
4552 / 5005	Time: 0.037 (1.435)
4553 / 5005	Time: 2.470 (1.435)
4554 / 5005	Time: 0.038 (1.435)
4555 / 5005	Time: 2.073 (1.435)
4556 / 5005	Time: 0.038 (1.435)
4557 / 5005	Time: 2.570 (1.435)
4558 / 5005	Time: 0.039 (1.435)
4559 / 5005	Time: 2.469 (1.435)
4560 / 5005	Time: 0.038 (1.435)
4561 / 5005	Time: 2.369 (1.435)
4562 / 5005	Time: 0.038 (1.435)
4563 / 5005	Time: 2.212 (1.435)
4564 / 5005	Time: 0.038 (1.435)
4565 / 5005	Time: 2.512 (1.435)
4566 / 5005	Time: 0.036 (1.434)
4567 / 5005	Time: 2.775 (1.435)
4568 / 5005	Time: 0.038 (1.434)
4569 / 5005	Time: 2.419 (1.435)
4570 / 5005	Time: 0.039 (1.434)
4571 / 5005	Time: 2.420 (1.435)
4572 / 5005	Time: 0.038 (1.434)
4573 / 5005	Time: 2.319 (1.434)
4574 / 5005	Time: 0.036 (1.434)
4575 / 5005	Time: 2.570 (1.434)
4576 / 5005	Time: 0.038 (1.434)
4577 / 5005	Time: 2.321 (1.434)
4578 / 5005	Time: 0.038 (1.434)
4579 / 5005	Time: 2.521 (1.434)
4580 / 5005	Time: 0.037 (1.434)
4581 / 5005	Time: 2.671 (1.434)
4582 / 5005	Time: 0.038 (1.434)
4583 / 5005	Time: 2.219 (1.434)
4584 / 5005	Time: 0.038 (1.434)
4585 / 5005	Time: 2.470 (1.434)
4586 / 5005	Time: 0.038 (1.434)
4587 / 5005	Time: 2.327 (1.434)
4588 / 5005	Time: 0.039 (1.434)
4589 / 5005	Time: 2.221 (1.434)
4590 / 5005	Time: 0.038 (1.433)
4591 / 5005	Time: 2.821 (1.434)
4592 / 5005	Time: 0.036 (1.433)
4593 / 5005	Time: 2.525 (1.434)
4594 / 5005	Time: 0.038 (1.433)
4595 / 5005	Time: 2.471 (1.434)
4596 / 5005	Time: 0.037 (1.433)
4597 / 5005	Time: 3.022 (1.434)
4598 / 5005	Time: 0.037 (1.433)
4599 / 5005	Time: 3.023 (1.434)
4600 / 5005	Time: 0.038 (1.433)
4601 / 5005	Time: 2.370 (1.434)
4602 / 5005	Time: 0.039 (1.433)
4603 / 5005	Time: 2.425 (1.434)
4604 / 5005	Time: 0.038 (1.433)
4605 / 5005	Time: 2.314 (1.433)
4606 / 5005	Time: 0.038 (1.433)
4607 / 5005	Time: 2.006 (1.433)
4608 / 5005	Time: 0.038 (1.433)
4609 / 5005	Time: 2.375 (1.433)
4610 / 5005	Time: 0.038 (1.433)
4611 / 5005	Time: 2.420 (1.433)
4612 / 5005	Time: 0.038 (1.433)
4613 / 5005	Time: 2.369 (1.433)
4614 / 5005	Time: 0.038 (1.433)
4615 / 5005	Time: 2.375 (1.433)
4616 / 5005	Time: 0.038 (1.433)
4617 / 5005	Time: 2.319 (1.433)
4618 / 5005	Time: 0.038 (1.432)
4619 / 5005	Time: 2.257 (1.433)
4620 / 5005	Time: 0.044 (1.432)
4621 / 5005	Time: 2.720 (1.433)
4622 / 5005	Time: 0.038 (1.432)
4623 / 5005	Time: 2.620 (1.433)
4624 / 5005	Time: 0.038 (1.432)
4625 / 5005	Time: 2.322 (1.432)
4626 / 5005	Time: 0.038 (1.432)
4627 / 5005	Time: 2.003 (1.432)
4628 / 5005	Time: 0.709 (1.432)
4629 / 5005	Time: 1.555 (1.432)
4630 / 5005	Time: 0.806 (1.432)
4631 / 5005	Time: 1.605 (1.432)
4632 / 5005	Time: 1.454 (1.432)
4633 / 5005	Time: 0.803 (1.432)
4634 / 5005	Time: 1.905 (1.432)
4635 / 5005	Time: 0.452 (1.432)
4636 / 5005	Time: 2.055 (1.432)
4637 / 5005	Time: 0.151 (1.432)
4638 / 5005	Time: 2.159 (1.432)
4639 / 5005	Time: 0.453 (1.432)
4640 / 5005	Time: 2.056 (1.432)
4641 / 5005	Time: 0.258 (1.431)
4642 / 5005	Time: 2.055 (1.432)
4643 / 5005	Time: 0.251 (1.431)
4644 / 5005	Time: 2.055 (1.431)
4645 / 5005	Time: 0.252 (1.431)
4646 / 5005	Time: 2.156 (1.431)
4647 / 5005	Time: 0.059 (1.431)
4648 / 5005	Time: 2.338 (1.431)
4649 / 5005	Time: 0.039 (1.431)
4650 / 5005	Time: 2.307 (1.431)
4651 / 5005	Time: 0.058 (1.431)
4652 / 5005	Time: 2.106 (1.431)
4653 / 5005	Time: 0.452 (1.431)
4654 / 5005	Time: 3.007 (1.431)
4655 / 5005	Time: 0.804 (1.431)
4656 / 5005	Time: 1.905 (1.431)
4657 / 5005	Time: 0.253 (1.431)
4658 / 5005	Time: 2.870 (1.431)
4659 / 5005	Time: 0.038 (1.431)
4660 / 5005	Time: 2.770 (1.431)
4661 / 5005	Time: 0.036 (1.431)
4662 / 5005	Time: 2.420 (1.431)
4663 / 5005	Time: 0.038 (1.431)
4664 / 5005	Time: 2.422 (1.431)
4665 / 5005	Time: 0.039 (1.431)
4666 / 5005	Time: 2.770 (1.431)
4667 / 5005	Time: 0.038 (1.431)
4668 / 5005	Time: 2.520 (1.431)
4669 / 5005	Time: 0.039 (1.431)
4670 / 5005	Time: 2.870 (1.431)
4671 / 5005	Time: 0.038 (1.431)
4672 / 5005	Time: 2.571 (1.431)
4673 / 5005	Time: 0.039 (1.431)
4674 / 5005	Time: 2.518 (1.431)
4675 / 5005	Time: 0.038 (1.430)
4676 / 5005	Time: 2.469 (1.431)
4677 / 5005	Time: 0.038 (1.430)
4678 / 5005	Time: 2.471 (1.431)
4679 / 5005	Time: 0.038 (1.430)
4680 / 5005	Time: 2.472 (1.431)
4681 / 5005	Time: 0.038 (1.430)
4682 / 5005	Time: 2.469 (1.430)
4683 / 5005	Time: 0.038 (1.430)
4684 / 5005	Time: 2.369 (1.430)
4685 / 5005	Time: 0.038 (1.430)
4686 / 5005	Time: 2.319 (1.430)
4687 / 5005	Time: 0.038 (1.430)
4688 / 5005	Time: 2.319 (1.430)
4689 / 5005	Time: 0.038 (1.430)
4690 / 5005	Time: 2.420 (1.430)
4691 / 5005	Time: 0.038 (1.430)
4692 / 5005	Time: 2.870 (1.430)
4693 / 5005	Time: 0.036 (1.430)
4694 / 5005	Time: 2.317 (1.430)
4695 / 5005	Time: 0.038 (1.430)
4696 / 5005	Time: 2.519 (1.430)
4697 / 5005	Time: 0.036 (1.430)
4698 / 5005	Time: 2.670 (1.430)
4699 / 5005	Time: 0.037 (1.430)
4700 / 5005	Time: 2.720 (1.430)
4701 / 5005	Time: 0.039 (1.430)
4702 / 5005	Time: 2.120 (1.430)
4703 / 5005	Time: 0.038 (1.429)
4704 / 5005	Time: 2.824 (1.430)
4705 / 5005	Time: 0.038 (1.429)
4706 / 5005	Time: 5.693 (1.430)
4707 / 5005	Time: 0.036 (1.430)
4708 / 5005	Time: 2.756 (1.430)
4709 / 5005	Time: 0.036 (1.430)
4710 / 5005	Time: 3.286 (1.430)
4711 / 5005	Time: 0.038 (1.430)
4712 / 5005	Time: 3.872 (1.431)
4713 / 5005	Time: 0.038 (1.430)
4714 / 5005	Time: 2.456 (1.431)
4715 / 5005	Time: 0.039 (1.430)
4716 / 5005	Time: 2.569 (1.431)
4717 / 5005	Time: 0.038 (1.430)
4718 / 5005	Time: 2.468 (1.430)
4719 / 5005	Time: 0.037 (1.430)
4720 / 5005	Time: 2.519 (1.430)
4721 / 5005	Time: 0.038 (1.430)
4722 / 5005	Time: 2.971 (1.430)
4723 / 5005	Time: 0.039 (1.430)
4724 / 5005	Time: 2.255 (1.430)
4725 / 5005	Time: 0.037 (1.430)
4726 / 5005	Time: 2.474 (1.430)
4727 / 5005	Time: 0.038 (1.430)
4728 / 5005	Time: 2.519 (1.430)
4729 / 5005	Time: 0.038 (1.430)
4730 / 5005	Time: 2.370 (1.430)
4731 / 5005	Time: 0.038 (1.430)
4732 / 5005	Time: 2.068 (1.430)
4733 / 5005	Time: 0.036 (1.430)
4734 / 5005	Time: 2.373 (1.430)
4735 / 5005	Time: 0.038 (1.430)
4736 / 5005	Time: 2.618 (1.430)
4737 / 5005	Time: 0.037 (1.429)
4738 / 5005	Time: 2.470 (1.430)
4739 / 5005	Time: 0.039 (1.429)
4740 / 5005	Time: 3.021 (1.430)
4741 / 5005	Time: 0.038 (1.429)
4742 / 5005	Time: 2.269 (1.430)
4743 / 5005	Time: 0.038 (1.429)
4744 / 5005	Time: 2.219 (1.429)
4745 / 5005	Time: 0.037 (1.429)
4746 / 5005	Time: 2.267 (1.429)
4747 / 5005	Time: 0.037 (1.429)
4748 / 5005	Time: 2.470 (1.429)
4749 / 5005	Time: 0.036 (1.429)
4750 / 5005	Time: 2.323 (1.429)
4751 / 5005	Time: 0.039 (1.429)
4752 / 5005	Time: 2.623 (1.429)
4753 / 5005	Time: 0.038 (1.429)
4754 / 5005	Time: 2.571 (1.429)
4755 / 5005	Time: 0.038 (1.429)
4756 / 5005	Time: 2.469 (1.429)
4757 / 5005	Time: 0.036 (1.429)
4758 / 5005	Time: 2.319 (1.429)
4759 / 5005	Time: 0.040 (1.429)
4760 / 5005	Time: 2.323 (1.429)
4761 / 5005	Time: 0.038 (1.429)
4762 / 5005	Time: 2.372 (1.429)
4763 / 5005	Time: 0.038 (1.428)
4764 / 5005	Time: 2.424 (1.429)
4765 / 5005	Time: 0.039 (1.428)
4766 / 5005	Time: 2.520 (1.429)
4767 / 5005	Time: 0.038 (1.428)
4768 / 5005	Time: 2.428 (1.428)
4769 / 5005	Time: 0.038 (1.428)
4770 / 5005	Time: 2.568 (1.428)
4771 / 5005	Time: 0.037 (1.428)
4772 / 5005	Time: 2.585 (1.428)
4773 / 5005	Time: 0.039 (1.428)
4774 / 5005	Time: 2.255 (1.428)
4775 / 5005	Time: 0.039 (1.428)
4776 / 5005	Time: 2.669 (1.428)
4777 / 5005	Time: 0.039 (1.428)
4778 / 5005	Time: 2.719 (1.428)
4779 / 5005	Time: 0.038 (1.428)
4780 / 5005	Time: 2.718 (1.428)
4781 / 5005	Time: 0.038 (1.428)
4782 / 5005	Time: 2.314 (1.428)
4783 / 5005	Time: 0.038 (1.428)
4784 / 5005	Time: 2.570 (1.428)
4785 / 5005	Time: 0.038 (1.428)
4786 / 5005	Time: 2.319 (1.428)
4787 / 5005	Time: 0.038 (1.428)
4788 / 5005	Time: 2.519 (1.428)
4789 / 5005	Time: 0.037 (1.428)
4790 / 5005	Time: 2.578 (1.428)
4791 / 5005	Time: 0.039 (1.428)
4792 / 5005	Time: 2.774 (1.428)
4793 / 5005	Time: 0.038 (1.428)
4794 / 5005	Time: 2.356 (1.428)
4795 / 5005	Time: 0.038 (1.427)
4796 / 5005	Time: 2.770 (1.428)
4797 / 5005	Time: 0.040 (1.427)
4798 / 5005	Time: 2.354 (1.428)
4799 / 5005	Time: 0.037 (1.427)
4800 / 5005	Time: 2.369 (1.428)
4801 / 5005	Time: 0.038 (1.427)
4802 / 5005	Time: 2.420 (1.427)
4803 / 5005	Time: 0.036 (1.427)
4804 / 5005	Time: 1.806 (1.427)
4805 / 5005	Time: 0.036 (1.427)
4806 / 5005	Time: 1.857 (1.427)
4807 / 5005	Time: 0.036 (1.427)
4808 / 5005	Time: 2.405 (1.427)
4809 / 5005	Time: 0.038 (1.427)
4810 / 5005	Time: 2.769 (1.427)
4811 / 5005	Time: 0.037 (1.427)
4812 / 5005	Time: 2.771 (1.427)
4813 / 5005	Time: 0.038 (1.427)
4814 / 5005	Time: 2.173 (1.427)
4815 / 5005	Time: 0.036 (1.426)
4816 / 5005	Time: 2.520 (1.427)
4817 / 5005	Time: 0.039 (1.426)
4818 / 5005	Time: 2.670 (1.427)
4819 / 5005	Time: 0.046 (1.426)
4820 / 5005	Time: 2.820 (1.427)
4821 / 5005	Time: 0.036 (1.426)
4822 / 5005	Time: 2.169 (1.427)
4823 / 5005	Time: 0.039 (1.426)
4824 / 5005	Time: 3.019 (1.427)
4825 / 5005	Time: 0.054 (1.426)
4826 / 5005	Time: 2.770 (1.427)
4827 / 5005	Time: 0.038 (1.426)
4828 / 5005	Time: 2.826 (1.427)
4829 / 5005	Time: 0.038 (1.426)
4830 / 5005	Time: 2.670 (1.427)
4831 / 5005	Time: 0.038 (1.426)
4832 / 5005	Time: 2.119 (1.426)
4833 / 5005	Time: 0.039 (1.426)
4834 / 5005	Time: 2.169 (1.426)
4835 / 5005	Time: 0.039 (1.426)
4836 / 5005	Time: 2.453 (1.426)
4837 / 5005	Time: 0.039 (1.426)
4838 / 5005	Time: 2.354 (1.426)
4839 / 5005	Time: 0.048 (1.426)
4840 / 5005	Time: 2.420 (1.426)
4841 / 5005	Time: 0.039 (1.426)
4842 / 5005	Time: 2.069 (1.426)
4843 / 5005	Time: 0.038 (1.426)
4844 / 5005	Time: 2.406 (1.426)
4845 / 5005	Time: 0.039 (1.426)
4846 / 5005	Time: 2.306 (1.426)
4847 / 5005	Time: 0.039 (1.425)
4848 / 5005	Time: 2.083 (1.426)
4849 / 5005	Time: 0.036 (1.425)
4850 / 5005	Time: 2.255 (1.425)
4851 / 5005	Time: 0.038 (1.425)
4852 / 5005	Time: 3.421 (1.426)
4853 / 5005	Time: 0.038 (1.425)
4854 / 5005	Time: 2.869 (1.426)
4855 / 5005	Time: 0.036 (1.425)
4856 / 5005	Time: 4.086 (1.426)
4857 / 5005	Time: 0.040 (1.426)
4858 / 5005	Time: 2.621 (1.426)
4859 / 5005	Time: 0.037 (1.426)
4860 / 5005	Time: 2.406 (1.426)
4861 / 5005	Time: 0.038 (1.425)
4862 / 5005	Time: 2.977 (1.426)
4863 / 5005	Time: 0.038 (1.425)
4864 / 5005	Time: 3.635 (1.426)
4865 / 5005	Time: 0.042 (1.426)
4866 / 5005	Time: 3.206 (1.426)
4867 / 5005	Time: 0.039 (1.426)
4868 / 5005	Time: 2.972 (1.426)
4869 / 5005	Time: 0.039 (1.426)
4870 / 5005	Time: 3.737 (1.426)
4871 / 5005	Time: 0.039 (1.426)
4872 / 5005	Time: 2.707 (1.426)
4873 / 5005	Time: 0.040 (1.426)
4874 / 5005	Time: 2.639 (1.426)
4875 / 5005	Time: 0.038 (1.426)
4876 / 5005	Time: 3.788 (1.426)
4877 / 5005	Time: 0.038 (1.426)
4878 / 5005	Time: 2.765 (1.426)
4879 / 5005	Time: 0.038 (1.426)
4880 / 5005	Time: 2.821 (1.426)
4881 / 5005	Time: 0.038 (1.426)
4882 / 5005	Time: 2.820 (1.426)
4883 / 5005	Time: 0.037 (1.426)
4884 / 5005	Time: 2.970 (1.426)
4885 / 5005	Time: 0.037 (1.426)
4886 / 5005	Time: 2.425 (1.426)
4887 / 5005	Time: 0.038 (1.426)
4888 / 5005	Time: 2.269 (1.426)
4889 / 5005	Time: 0.039 (1.426)
4890 / 5005	Time: 2.570 (1.426)
4891 / 5005	Time: 0.040 (1.426)
4892 / 5005	Time: 2.860 (1.426)
4893 / 5005	Time: 0.553 (1.426)
4894 / 5005	Time: 1.954 (1.426)
4895 / 5005	Time: 0.304 (1.426)
4896 / 5005	Time: 2.155 (1.426)
4897 / 5005	Time: 0.854 (1.426)
4898 / 5005	Time: 3.422 (1.426)
4899 / 5005	Time: 0.040 (1.426)
4900 / 5005	Time: 2.959 (1.426)
4901 / 5005	Time: 0.040 (1.426)
4902 / 5005	Time: 2.607 (1.426)
4903 / 5005	Time: 0.158 (1.426)
4904 / 5005	Time: 2.477 (1.426)
4905 / 5005	Time: 0.038 (1.426)
4906 / 5005	Time: 2.507 (1.426)
4907 / 5005	Time: 0.404 (1.426)
4908 / 5005	Time: 2.156 (1.426)
4909 / 5005	Time: 0.204 (1.426)
4910 / 5005	Time: 2.311 (1.426)
4911 / 5005	Time: 0.038 (1.426)
4912 / 5005	Time: 2.370 (1.426)
4913 / 5005	Time: 0.038 (1.426)
4914 / 5005	Time: 2.520 (1.426)
4915 / 5005	Time: 0.040 (1.426)
4916 / 5005	Time: 2.372 (1.426)
4917 / 5005	Time: 0.038 (1.426)
4918 / 5005	Time: 2.620 (1.426)
4919 / 5005	Time: 0.040 (1.425)
4920 / 5005	Time: 2.520 (1.426)
4921 / 5005	Time: 0.038 (1.425)
4922 / 5005	Time: 2.670 (1.426)
4923 / 5005	Time: 0.041 (1.425)
4924 / 5005	Time: 2.721 (1.426)
4925 / 5005	Time: 0.039 (1.425)
4926 / 5005	Time: 2.571 (1.426)
4927 / 5005	Time: 0.038 (1.425)
4928 / 5005	Time: 2.220 (1.425)
4929 / 5005	Time: 0.038 (1.425)
4930 / 5005	Time: 2.572 (1.425)
4931 / 5005	Time: 0.039 (1.425)
4932 / 5005	Time: 2.519 (1.425)
4933 / 5005	Time: 0.040 (1.425)
4934 / 5005	Time: 2.418 (1.425)
4935 / 5005	Time: 0.039 (1.425)
4936 / 5005	Time: 2.469 (1.425)
4937 / 5005	Time: 0.038 (1.425)
4938 / 5005	Time: 2.270 (1.425)
4939 / 5005	Time: 0.038 (1.425)
4940 / 5005	Time: 2.522 (1.425)
4941 / 5005	Time: 0.036 (1.425)
4942 / 5005	Time: 2.170 (1.425)
4943 / 5005	Time: 0.037 (1.425)
4944 / 5005	Time: 2.493 (1.425)
4945 / 5005	Time: 0.039 (1.425)
4946 / 5005	Time: 2.407 (1.425)
4947 / 5005	Time: 0.252 (1.425)
4948 / 5005	Time: 2.158 (1.425)
4949 / 5005	Time: 0.803 (1.425)
4950 / 5005	Time: 1.855 (1.425)
4951 / 5005	Time: 0.753 (1.425)
4952 / 5005	Time: 2.105 (1.425)
4953 / 5005	Time: 0.352 (1.424)
4954 / 5005	Time: 2.670 (1.425)
4955 / 5005	Time: 0.039 (1.424)
4956 / 5005	Time: 2.438 (1.425)
4957 / 5005	Time: 0.038 (1.424)
4958 / 5005	Time: 2.756 (1.425)
4959 / 5005	Time: 0.102 (1.424)
4960 / 5005	Time: 3.108 (1.425)
4961 / 5005	Time: 0.252 (1.424)
4962 / 5005	Time: 2.758 (1.425)
4963 / 5005	Time: 0.352 (1.424)
4964 / 5005	Time: 2.556 (1.425)
4965 / 5005	Time: 0.502 (1.425)
4966 / 5005	Time: 2.706 (1.425)
4967 / 5005	Time: 0.102 (1.425)
4968 / 5005	Time: 2.677 (1.425)
4969 / 5005	Time: 0.038 (1.425)
4970 / 5005	Time: 2.463 (1.425)
4971 / 5005	Time: 0.039 (1.424)
4972 / 5005	Time: 2.919 (1.425)
4973 / 5005	Time: 0.036 (1.424)
4974 / 5005	Time: 2.619 (1.425)
4975 / 5005	Time: 0.038 (1.424)
4976 / 5005	Time: 2.720 (1.425)
4977 / 5005	Time: 0.039 (1.424)
4978 / 5005	Time: 2.969 (1.425)
4979 / 5005	Time: 0.039 (1.424)
4980 / 5005	Time: 2.570 (1.425)
4981 / 5005	Time: 0.039 (1.424)
4982 / 5005	Time: 3.121 (1.425)
4983 / 5005	Time: 0.039 (1.424)
4984 / 5005	Time: 2.621 (1.425)
4985 / 5005	Time: 0.039 (1.424)
4986 / 5005	Time: 2.367 (1.425)
4987 / 5005	Time: 0.036 (1.424)
4988 / 5005	Time: 2.469 (1.425)
4989 / 5005	Time: 0.037 (1.424)
4990 / 5005	Time: 2.638 (1.424)
4991 / 5005	Time: 0.039 (1.424)
4992 / 5005	Time: 2.661 (1.424)
4993 / 5005	Time: 0.038 (1.424)
4994 / 5005	Time: 2.305 (1.424)
4995 / 5005	Time: 0.252 (1.424)
4996 / 5005	Time: 2.393 (1.424)
4997 / 5005	Time: 0.038 (1.424)
4998 / 5005	Time: 2.670 (1.424)
4999 / 5005	Time: 0.039 (1.424)
5000 / 5005	Time: 2.229 (1.424)
5001 / 5005	Time: 0.041 (1.424)
5002 / 5005	Time: 2.255 (1.424)
5003 / 5005	Time: 0.071 (1.424)
5004 / 5005	Time: 1.572 (1.424)
k-means loss evolution: [2299939.  1271627.8 1268078.6 1265206.1 1263519.2 1262436.4 1261634.2
 1260955.4 1260346.4 1259862.4 1259497.1 1259216.4 1259018.  1258868.4
 1258757.6 1258671.2 1258591.1 1258522.1 1258445.9 1258384.4]
k-means time: 817 s
Save checkpoint at: /home/annatruzzi/checkpoints/deepcluster_checkpoints/checkpoint_dc_0.pth.tar
Epoch: [0][0/5005]	Time: 4.973 (4.973)	Data: 4.236 (4.236)	Loss: 2.3688 (2.3688)
Epoch: [0][200/5005]	Time: 2.108 (1.122)	Data: 2.082 (1.067)	Loss: 1.3572 (1.7451)
Epoch: [0][400/5005]	Time: 1.906 (1.099)	Data: 1.881 (1.043)	Loss: 1.3628 (1.5740)
Epoch: [0][600/5005]	Time: 1.748 (1.098)	Data: 1.721 (1.043)	Loss: 1.4470 (1.5055)
Epoch: [0][800/5005]	Time: 1.794 (1.092)	Data: 1.767 (1.042)	Loss: 1.3466 (1.4655)
Epoch: [0][1000/5005]	Time: 0.702 (1.089)	Data: 0.665 (1.043)	Loss: 1.2407 (1.4399)
Epoch: [0][1200/5005]	Time: 1.197 (1.090)	Data: 1.166 (1.046)	Loss: 1.2755 (1.4198)
Epoch: [0][1400/5005]	Time: 0.199 (1.089)	Data: 0.169 (1.045)	Loss: 1.3341 (1.4049)
Epoch: [0][1600/5005]	Time: 0.945 (1.090)	Data: 0.915 (1.047)	Loss: 1.3909 (1.3942)
Epoch: [0][1800/5005]	Time: 0.392 (1.088)	Data: 0.364 (1.045)	Loss: 1.1860 (1.3839)
Epoch: [0][2000/5005]	Time: 1.745 (1.088)	Data: 1.717 (1.046)	Loss: 1.3232 (1.3761)
Epoch: [0][2200/5005]	Time: 2.113 (1.088)	Data: 2.081 (1.045)	Loss: 1.2977 (1.3693)
Epoch: [0][2400/5005]	Time: 1.912 (1.088)	Data: 1.880 (1.044)	Loss: 1.2830 (1.3631)
Epoch: [0][2600/5005]	Time: 2.206 (1.088)	Data: 2.181 (1.043)	Loss: 1.2853 (1.3570)
Epoch: [0][2800/5005]	Time: 2.163 (1.088)	Data: 2.136 (1.043)	Loss: 1.3196 (1.3517)
Epoch: [0][3000/5005]	Time: 0.549 (1.087)	Data: 0.517 (1.042)	Loss: 1.2553 (1.3469)
Epoch: [0][3200/5005]	Time: 0.238 (1.087)	Data: 0.214 (1.042)	Loss: 1.3040 (1.3426)
Epoch: [0][3400/5005]	Time: 0.079 (1.087)	Data: 0.000 (1.041)	Loss: 1.2155 (1.3388)
Epoch: [0][3600/5005]	Time: 0.081 (1.086)	Data: 0.000 (1.041)	Loss: 1.1696 (1.3351)
Epoch: [0][3800/5005]	Time: 0.082 (1.087)	Data: 0.000 (1.041)	Loss: 1.2770 (1.3323)
Epoch: [0][4000/5005]	Time: 0.078 (1.087)	Data: 0.000 (1.040)	Loss: 1.3779 (1.3291)
Epoch: [0][4200/5005]	Time: 0.079 (1.087)	Data: 0.000 (1.040)	Loss: 1.3028 (1.3260)
Epoch: [0][4400/5005]	Time: 0.080 (1.087)	Data: 0.000 (1.039)	Loss: 1.3571 (1.3231)
Epoch: [0][4600/5005]	Time: 0.081 (1.087)	Data: 0.000 (1.040)	Loss: 1.2409 (1.3203)
Epoch: [0][4800/5005]	Time: 0.899 (1.087)	Data: 0.872 (1.039)	Loss: 1.2951 (1.3177)
Epoch: [0][5000/5005]	Time: 1.247 (1.087)	Data: 1.216 (1.039)	Loss: 1.3497 (1.3154)
###### Epoch [0] ###### 
Time: 5440.416 s
Clustering loss: 1258384.375 
ConvNet loss: 1.315
####################### 

Compute features
0 / 5005	Time: 499.448 (499.448)
1 / 5005	Time: 0.079 (249.764)
2 / 5005	Time: 0.039 (166.522)
3 / 5005	Time: 0.038 (124.901)
4 / 5005	Time: 0.044 (99.929)
5 / 5005	Time: 2.257 (83.651)
6 / 5005	Time: 0.152 (71.722)
7 / 5005	Time: 2.356 (63.051)
8 / 5005	Time: 0.205 (56.069)
9 / 5005	Time: 2.322 (50.694)
10 / 5005	Time: 0.041 (46.089)
11 / 5005	Time: 2.265 (42.437)
12 / 5005	Time: 0.076 (39.179)
13 / 5005	Time: 2.205 (36.538)
14 / 5005	Time: 0.116 (34.110)
15 / 5005	Time: 2.105 (32.109)
16 / 5005	Time: 0.151 (30.229)
17 / 5005	Time: 2.056 (28.664)
18 / 5005	Time: 0.152 (27.164)
19 / 5005	Time: 2.005 (25.906)
20 / 5005	Time: 0.603 (24.701)
21 / 5005	Time: 2.103 (23.674)
22 / 5005	Time: 0.502 (22.666)
23 / 5005	Time: 2.156 (21.812)
24 / 5005	Time: 0.453 (20.957)
25 / 5005	Time: 2.105 (20.232)
26 / 5005	Time: 0.407 (19.498)
27 / 5005	Time: 2.255 (18.882)
28 / 5005	Time: 0.402 (18.245)
29 / 5005	Time: 2.005 (17.703)
30 / 5005	Time: 0.857 (17.160)
31 / 5005	Time: 1.759 (16.679)
32 / 5005	Time: 0.758 (16.196)
33 / 5005	Time: 1.916 (15.776)
34 / 5005	Time: 0.708 (15.346)
35 / 5005	Time: 2.009 (14.975)
36 / 5005	Time: 0.654 (14.588)
37 / 5005	Time: 2.058 (14.259)
38 / 5005	Time: 0.803 (13.914)
39 / 5005	Time: 1.754 (13.610)
40 / 5005	Time: 0.703 (13.295)
41 / 5005	Time: 2.104 (13.028)
42 / 5005	Time: 0.602 (12.739)
43 / 5005	Time: 2.256 (12.501)
44 / 5005	Time: 0.452 (12.233)
45 / 5005	Time: 2.355 (12.019)
46 / 5005	Time: 0.100 (11.765)
47 / 5005	Time: 2.356 (11.569)
48 / 5005	Time: 0.200 (11.337)
49 / 5005	Time: 2.570 (11.162)
50 / 5005	Time: 0.039 (10.943)
51 / 5005	Time: 2.319 (10.778)
52 / 5005	Time: 0.038 (10.575)
53 / 5005	Time: 2.320 (10.422)
54 / 5005	Time: 0.038 (10.233)
55 / 5005	Time: 2.220 (10.090)
56 / 5005	Time: 0.038 (9.914)
57 / 5005	Time: 2.469 (9.786)
58 / 5005	Time: 0.036 (9.620)
59 / 5005	Time: 2.519 (9.502)
60 / 5005	Time: 0.036 (9.347)
61 / 5005	Time: 2.469 (9.236)
62 / 5005	Time: 0.040 (9.090)
63 / 5005	Time: 2.669 (8.990)
64 / 5005	Time: 0.036 (8.852)
65 / 5005	Time: 2.619 (8.757)
66 / 5005	Time: 0.038 (8.627)
67 / 5005	Time: 2.469 (8.537)
68 / 5005	Time: 0.037 (8.413)
69 / 5005	Time: 2.470 (8.329)
70 / 5005	Time: 0.038 (8.212)
71 / 5005	Time: 2.575 (8.134)
72 / 5005	Time: 0.040 (8.023)
73 / 5005	Time: 2.469 (7.948)
74 / 5005	Time: 0.038 (7.842)
75 / 5005	Time: 2.519 (7.772)
76 / 5005	Time: 0.038 (7.672)
77 / 5005	Time: 2.569 (7.606)
78 / 5005	Time: 0.039 (7.510)
79 / 5005	Time: 2.569 (7.449)
80 / 5005	Time: 0.038 (7.357)
81 / 5005	Time: 2.372 (7.296)
82 / 5005	Time: 0.038 (7.209)
83 / 5005	Time: 2.320 (7.151)
84 / 5005	Time: 0.036 (7.067)
85 / 5005	Time: 1.672 (7.004)
86 / 5005	Time: 0.036 (6.924)
87 / 5005	Time: 1.569 (6.863)
88 / 5005	Time: 0.186 (6.788)
89 / 5005	Time: 1.617 (6.731)
90 / 5005	Time: 0.038 (6.657)
91 / 5005	Time: 2.319 (6.610)
92 / 5005	Time: 0.036 (6.540)
93 / 5005	Time: 2.472 (6.496)
94 / 5005	Time: 0.036 (6.428)
95 / 5005	Time: 2.470 (6.387)
96 / 5005	Time: 0.038 (6.322)
97 / 5005	Time: 2.419 (6.282)
